Marca,Producto,Precio_COP,Calificacion,Tienda
LENOVO,PORTATIL 14IRH10 INTEL CORE I5-13420H 32GB RAM 1TB SSD 14 WUXGA + BOLSO,,,Falabella
HP,"PORTATIL AMD RYZEN 7-7730U SSD 1TB RAM 32GB LED 15,6 FULL HD",,,Falabella
ASUS,PortÃ¡til TUF Gaming A15 | AMD Ryzen 7 | GeForce RTX 3050 |DDR5 16GB| 512GB SSD de almacenamiento | Windows 11 |15.6 Pulgadas |FA506NCG-HN186W | Computador portÃ¡til Gamer,,,Falabella
LENOVO,"PORTATIL THINKBOOK CORE I7 1355U - 32GB DDR5 - 1TB SSD - 14"" WUXGA - RJ45 - WIN 11 PRO",,,Falabella
ASUS,"PortÃ¡til 16"" AMD Ryzen 9 270 16GB RAM DDR5 512GB SSD Laptop Alto Rendimiento",,,Falabella
ASUS,PortÃ¡til Vivobook Go 15 | Ryzen 5 | LPDDR5 16GB| 1TB SSD de almacenamiento | Windows 11 |15.6 Pulgadas |E1504FA-BQ2603W | Computador portÃ¡til,,,Falabella
ASUS,"PortÃ¡til Ryzen 5 7520u Ram 16gb Ssd 512gb FHD 15.6"" Computador PortÃ¡til",,,Falabella
ASUS,PortÃ¡til Vivobook 15 |Intel Core i3 | DDR4 8GB| 512 GB SSD de almacenamiento | Windows 11 |15.6 Pulgadas |X1504VA-BQ3901W | Computador portÃ¡til,,,Falabella
LENOVO,Thinkbook 14 - intel core i7 1355u - 16gb ddr5 - DISCO 512 SDD,,,Falabella
LENOVO,PortÃ¡til IdeaPad Slim Core i7 13620H 16GB 512GB Win11,,,Falabella
ASUS,PORTATIL AMD RYZEN 9 270 SSD 1TB RAM 32GB LED 16 FULL HD,,,Falabella
ASUS,PORTATIL GAMER TUF - RYZEN7 7445HS - RAM 16GB - SSD 512 GB - RTX 4050 6GB,,,Falabella
LENOVO,PORTATIL GAMER LEGION 5 - ULTRA 9 275HX - RAM 32GB - SSD 1TB - RTX 5060 8GB,,,Falabella
ASUS,PortÃ¡til M1502YA-BQ923 Ryzen 7-5825U Ram 16gb Ssd 1TB Pantalla 15,,,Falabella
ASUS,PortÃ¡til Zenbook 14 OLED Core Ultra 7 155H 16GB 1TB SSD 3K OLED Win11 UX3405MA-PZ420W,,,Falabella
HP,Laptop 15-Fd0274La Intel Core I7 16 Gb 512 Gb Ssd 15.6 Fhd Windows 11 Home,,,Falabella
ASUS,PORTATIL GAMER TUF F16 - CORE i7 14650HX - RAM 32GB - SSD 1TB - RTX 5060 8GB,,,Falabella
LENOVO,"PortÃ¡til Gamer LOQ 15ARP10E - Ryzen 7 7735HS - RTX 4050 6GB - 16GB RAM - 512GB SSD - Pantalla 15.6"" FHD 144Hz",,,Falabella
LENOVO,PortÃ¡til Intel Core I7-13620H 512GB 24GB Ram Led 14 FHD,,,Falabella
LENOVO,PORTATIL IdeaPad Slim 3 AMD Ryzen 7 7735HS 24GB RAM 1TB SSD 15.3â WUXGA AZUL,,,Falabella
LENOVO,PortÃ¡til Thinkpad X13 Reacondicionado Intel Ci7 8Gb Ram Disco solido 256Gb Windows Pro,,,Falabella
ASUS,PORTATIL VIVOBOOK INTEL CORE I7-13620H SSD 512GB RAM 16GB 15.6 FHD,,,Falabella
ASUS,"PORTATIL TUF INTEL CORE 5-210H RTX 3050 6GB SSD 1TB RAM 16GB 16"" WUXGA 144HZ",,,Falabella
LENOVO,PortÃ¡til Ip Slim 5 Core I5 16GB 512GB Earbuds + Mouse,,,Falabella
ASUS,PORTÃTIL 16â³ RYZEN 9 24GB RAM 1TB SSD WUXGA GRIS + KASPERSKY,,,Falabella
LENOVO,PORTATIL IdeaPad Slim 3 AMD Ryzen 7 7735HS 24GB RAM 512GB SSD 15.3â WUXGA AZUL,,,Falabella
HP,PORTATIL INTEL CORE I5 1235U - RAM 24GB DDR4 - SSD 1TB M2 - 15.6 - FULL HD - IRIS XE GRAPHICS,,,Falabella
ASUS,PortÃ¡til Vivobook 15 |Intel Core 5 | DDR5 8GB| 512 GB SSD de almacenamiento | Windows 11 |15.6 Pulgadas |X1504VA-BQ4178W | Computador portÃ¡til,,,Falabella
LENOVO,"PORTATIL THINKBOOK CORE I7 1355U - 48GB DDR5 - 1TB SSD - 14"" WUXGA - RJ45 - WIN 11 PRO",,,Falabella
LENOVO,PORTATIL SLIM 3 AMD RYZEN 7 7735HS RAM 24GB DDR5 - SSD 512GB - 15.3 WUXGA AZUL,,,Falabella
HP,Portatil Victus Gaming Ryzen 7 7445HS 16GB 512GB RTX 3050,,,Falabella
LENOVO,"Portatil Intel Core i5 13420H - Ram 24Gb - SSD 1TB - Win 11 - 14"" FHD.",,,Falabella
LENOVO,PortÃ¡til IdeaPad Slim 3 G10 Intel Core i5 16GB 512GB,,,Falabella
LENOVO,"PORTÃTIL V14 G4 AMN AMD RYZEN 3 7320U 16GB LPDDR5 512GB SSD 14"" FHD",,,Falabella
HP,PortÃ¡til | Intel Core Ultra 7| 16 GB RAM | 512 GB SSD Almacenamiento| 15.6 pulgadas | Windows 11 Home |15-Fd2078La | Computador portÃ¡til,,,Falabella
HP,"PortÃ¡til-HP 15-FC0275LA - AMD RYZEN 7 7730U - 16GB DDR4 - 512GB SSD - PANTALLA 15,6"" FHD",,,Falabella
LENOVO,"PortÃ¡til Amd Ryzen 5 8GB 512GB Ideapad Slim 3 15.6"" Azul",,,Falabella
LENOVO,PORTATIL AMD RYZEN 7-7730U SSD 1TB RAM 24GB LED 14 FULL HD,,,Falabella
HP,PortÃ¡til Gaming Victus 15.6 FHD | Intel Core i5 | GPU mÃ³vil de 16 GB NvidiaÂ® Geforce RTX 3050 (GDDR6 de 6 GB dedicada) | SSD de 512 GB | Inicio de Windows 11,,,Falabella
LENOVO,"PORTÃTIL V14 GEN4 AMD RYZEN 5 7520U 14""",,,Falabella
ASUS,"PORTATIL ZENBOOK 14"" OLED RYZEN 7 350AI 16GB RAM 1TB SSD",,,Falabella
HP,PORTATIL GAMER OMEN League of Legends Ed - CORE i7 14650HX - RAM 32GB - SSD 2TB - RTX 5060 8GB,,,Falabella
ASUS,"PORTATIL VIVOBOOK - RYZEN 5 7520U - DDR5 16GB - SSD 512 GB - 15.6"" FHD + MALETA Y MOUSE",,,Falabella
ASUS,PORTATIL AMD RYZEN 9 270 SSD 2TB RAM 48GB LED 16 FULL HD,,,Falabella
LENOVO,PORTATIL V14 G4 IRU INTEL CORE I3-1315U 8GB RAM 256 GB SSD 14â FHD + MOUSE INALAMBRICO !!!,,,Falabella
ASUS,"PORTATIL TUF INTEL CORE 5-210H RTX 3050 6GB SSD 512GB RAM 16GB 16"" WUXGA 144HZ",,,Falabella
LENOVO,"PortÃ¡til THINKBOOK 14 G8 IAL ULTRA 5 225U/RAM 16GB /512 GB SSD/ 14"" / FREE",,,Falabella
HP,"PortÃ¡til 245 G10 Ryzen 5 7530U 8GB DDR4 SSD 512GB 14"" HD Gris Oscuro",,,Falabella
LENOVO,PortÃ¡til Yoga Book 9i G10 Core Ultra 7 32GB 1TB + AI - Turquesa,,,Falabella
HP,"Portatil Victus 15-FB3019LA AMD Ryzen 7 7445HS SSD 512GB 8GB 15.6"" FHD Video 6GB RTX3050 Silver",,,Falabella
LENOVO,PortÃ¡til IdeaPad Slim 3 AMD Ryzen 5 8GB RAM - 512GB SSD - Pantalla 15.6â Azul,,,Falabella
ASUS,PortÃ¡til Zenbook S16 Oled Ryzen Ai 7 350 Ram24gb 1tb 3k Touch,,,Falabella
LENOVO,"Computador PortÃ¡til Gamer LOQ Core I5 12450HX 8/512 SSD RTX 4050 6GB 15,6 FHD WIN 11 HOME",,,Falabella
LENOVO,"PortÃ¡til IdeaPad 82XQ00LELM Ryzen 5 7520U 16GB RAM 512GB SSD 15.6"" Pulgadas",,,Falabella
ASUS,Portatil Expertbook Intel Core 7-240H Ssd 1TB Ram 16Gb 14 fhd,,,Falabella
LENOVO,"PORTATIL SLIM INTEL CORE I7 13620H SSD 1TB RAM 40GB DDR5 15,3 WUXGA",,,Falabella
HP,"VICTUS AMD RYZEN 7-7445HS RTX 3050 6GB SSD 1TB RAM 16GB LED 15,6"" FHD 144Hz",,,Falabella
ASUS,PORTATIL VIVOBOOK INTEL CORE I7-13620H SSD 1TB RAM 24GB 15.6 FHD,,,Falabella
LENOVO,PortÃ¡til ThinkPad L14 G6 Ryzen 7 Pro 32GB 1TB + AI - Negro,,,Falabella
HP,"PORTATIL AMD RYZEN 7-7730U SSD 1TB RAM 16GB LED 15,6 FULL HD",,,Falabella
HP,PortÃ¡til 15-fd0 Core i5,,,Falabella
ASUS,"PORTATIL VIVOBOOK INTEL CORE I3-1315U SSD 512GB RAM 12GB 15,6 FULL HD",,,Falabella
ASUS,PORTÃTIL VIVOBOOK 16 RYZEN AI 7 16GB 1TB SSD PANTALLA 16â³ WUXGA,,,Falabella
